_id,from,to
69d400827dca6ba0935a83c1,BRU,NDR
69d400827dca6ba0935a83c2,BRU,TNG
69d400827dca6ba0935a83c3,CGN,NDR
69d400827dca6ba0935a83c4,CMN,BCN
69d400827dca6ba0935a83c5,CMN,BGY
69d400827dca6ba0935a83c6,CMN,BLQ
69d400827dca6ba0935a83c7,CMN,BRU
69d400827dca6ba0935a83c8,CMN,CUF
69d400827dca6ba0935a83c9,CMN,LGW
69d400827dca6ba0935a83ca,CMN,LYS
69d400827dca6ba0935a83cb,CMN,MPL
69d400827dca6ba0935a83cc,CMN,SAW
69d400827dca6ba0935a83cd,CMN,TLS
69d400827dca6ba0935a83ce,CMN,TSF
69d400827dca6ba0935a83cf,CUF,CMN
69d400827dca6ba0935a83d0,FEZ,MPL
69d400827dca6ba0935a83d1,LGW,CMN
69d400827dca6ba0935a83d2,LGW,TNG
69d400827dca6ba0935a83d3,LYS,CMN
69d400827dca6ba0935a83d4,MPL,CMN
69d400827dca6ba0935a83d5,MPL,FEZ
69d400827dca6ba0935a83d6,MPL,NDR
69d400827dca6ba0935a83d7,NDR,AMS
69d400827dca6ba0935a83d8,NDR,BCN
69d400827dca6ba0935a83d9,NDR,BRU
69d400827dca6ba0935a83da,NDR,CGN
69d400827dca6ba0935a83db,NDR,MPL
69d400827dca6ba0935a83dc,NDR,PMI
69d400827dca6ba0935a83dd,PMI,NDR
69d400827dca6ba0935a83de,SAW,CMN
69d400827dca6ba0935a83df,TLS,CMN
69d400827dca6ba0935a83e0,TNG,AMS
69d400827dca6ba0935a83e1,TNG,BCN
69d400827dca6ba0935a83e2,TNG,BRU
69d400827dca6ba0935a83e3,TNG,LGW
69d400827dca6ba0935a83e4,TSF,CMN
69d400827dca6ba0935a83e5,AUA,LSP
69d400827dca6ba0935a83e6,AUA,MAR
69d400827dca6ba0935a83e7,BON,CUR
69d400827dca6ba0935a83e8,CUR,AUA
69d400827dca6ba0935a83e9,LSP,AUA
69d400827dca6ba0935a83ea,MAR,AUA
69d400827dca6ba0935a83eb,ASF,DME
69d400827dca6ba0935a83ec,ASF,LED
69d400827dca6ba0935a83ed,BHK,DME
69d400827dca6ba0935a83ee,DME,ASF
69d400827dca6ba0935a83ef,DME,BHK
69d400827dca6ba0935a83f0,DME,EGO
69d400827dca6ba0935a83f1,DME,FEG
69d400827dca6ba0935a83f2,DME,KSQ
69d400827dca6ba0935a83f3,DME,NMA
69d400827dca6ba0935a83f4,DME,NVI
69d400827dca6ba0935a83f5,DME,SKD
69d400827dca6ba0935a83f6,DME,TIV
69d400827dca6ba0935a83f7,EGO,DME
69d400827dca6ba0935a83f8,FEG,DME
69d400827dca6ba0935a83f9,KSQ,DME
69d400827dca6ba0935a83fa,LED,ASF
69d400827dca6ba0935a83fb,NMA,DME
69d400827dca6ba0935a83fc,NVI,DME
69d400827dca6ba0935a83fd,SKD,DME
69d400827dca6ba0935a83fe,TIV,DME
69d400827dca6ba0935a83ff,ANU,PTP
69d400827dca6ba0935a8400,CAY,FDF
69d400827dca6ba0935a8401,CUR,SDQ
69d400827dca6ba0935a8402,DOM,PTP
69d400827dca6ba0935a8403,DOM,SXM
69d400827dca6ba0935a8404,FDF,CAY
69d400827dca6ba0935a8405,FDF,PTP
69d400827dca6ba0935a8406,FDF,SDQ
69d400827dca6ba0935a8407,FDF,SLU
69d400827dca6ba0935a8408,PTP,ANU
69d400827dca6ba0935a8409,PTP,DOM
69d400827dca6ba0935a840a,PTP,FDF
69d400827dca6ba0935a840b,PTP,SBH
69d400827dca6ba0935a840c,PTP,SDQ
69d400827dca6ba0935a840d,PTP,SFG
69d400827dca6ba0935a840e,PTP,SXM
69d400827dca6ba0935a840f,SBH,PTP
69d400827dca6ba0935a8410,SDQ,PTP
