flugroute_id,abflug_iata,ankunft_iata,richtung,de_flughafen_iata,de_flughafen_typ,ausland_stadt,ausland_flughafen_iata,fluege_bestaetigt,fluege_gesamt,airlines_bestaetigt,airlines_gesamt,anzahl_portale,portale_liste,distanz_km,distanz_kategorie
69d400827dca6ba0935a9bff,FAO,DUS,nach DE,DUS,Hub,Faro,FAO,10,22,2,3,2,"fluegede,idealo",1967.0,Lang (>1500km)
69d400827dca6ba0935accd3,ALC,NRN,nach DE,NRN,Provinz,Alicante,ALC,10,21,1,2,2,"fluegede,idealo",1571.0,Lang (>1500km)
69d400827dca6ba0935b24d3,BUD,BER,nach DE,BER,Hub,Budapest,BUD,10,17,2,2,2,"fluegede,idealo",685.0,Mittel (500-1500km)
69d400827dca6ba0935a9d34,SCN,PMI,ab DE,SCN,Provinz,Palma De Mallorca,PMI,10,14,1,3,2,"fluegede,idealo",1129.0,Mittel (500-1500km)
69d400827dca6ba0935b005e,IST,BRE,nach DE,BRE,Provinz,Istanbul,IST,10,14,1,2,2,"fluegede,idealo",1986.0,Lang (>1500km)
69d400827dca6ba0935b27fb,CFU,BER,nach DE,BER,Hub,Kerkyra Island,CFU,10,13,6,6,2,"fluegede,idealo",1501.0,Lang (>1500km)
69d400827dca6ba0935a9cae,MUC,AUH,ab DE,MUC,Hub,Abu Dhabi,AUH,10,13,2,2,2,"fluegede,idealo",4580.0,Lang (>1500km)
69d400827dca6ba0935affff,BRE,IST,ab DE,BRE,Provinz,Istanbul,IST,10,13,1,2,2,"fluegede,idealo",1986.0,Lang (>1500km)
69d400827dca6ba0935b2942,CHQ,MUC,nach DE,MUC,Hub,Souda,CHQ,10,12,4,5,2,"fluegede,idealo",1750.0,Lang (>1500km)
69d400827dca6ba0935b0361,ATH,HAM,nach DE,HAM,Hub,Athens,ATH,10,12,3,3,2,"fluegede,idealo",2045.0,Lang (>1500km)
69d400827dca6ba0935b043b,HAM,ATH,ab DE,HAM,Hub,Athens,ATH,10,12,3,3,2,"fluegede,idealo",2045.0,Lang (>1500km)
69d400827dca6ba0935ae951,FRA,JNB,ab DE,FRA,Hub,Johannesburg,JNB,10,12,3,3,2,"fluegede,idealo",8689.0,Lang (>1500km)
69d400827dca6ba0935a9d17,PMI,SCN,nach DE,SCN,Provinz,Palma De Mallorca,PMI,10,12,2,3,2,"fluegede,idealo",1129.0,Mittel (500-1500km)
69d400827dca6ba0935b3d9b,HAM,GDN,ab DE,HAM,Hub,Gdańsk,GDN,10,12,2,2,2,"fluegede,idealo",560.0,Mittel (500-1500km)
69d400827dca6ba0935ad24d,NUE,STN,ab DE,NUE,Provinz,London,STN,10,12,1,3,2,"fluegede,idealo",807.0,Mittel (500-1500km)
69d400827dca6ba0935acc95,AGP,NRN,nach DE,NRN,Provinz,Malaga,AGP,10,12,1,1,2,"fluegede,idealo",1860.0,Lang (>1500km)
69d400827dca6ba0935b6bdb,RIX,BER,nach DE,BER,Hub,Riga,RIX,10,12,1,1,2,"fluegede,idealo",842.0,Mittel (500-1500km)
69d400827dca6ba0935b7aaf,TIA,BER,nach DE,BER,Hub,Tirana,TIA,10,12,1,1,2,"fluegede,idealo",1305.0,Mittel (500-1500km)
69d400827dca6ba0935b1dcd,BER,TIA,ab DE,BER,Hub,Tirana,TIA,10,12,1,1,2,"fluegede,idealo",1305.0,Mittel (500-1500km)
69d400827dca6ba0935b1b82,AYT,SCN,nach DE,SCN,Provinz,Antalya,AYT,10,12,1,1,2,"fluegede,idealo",2346.0,Lang (>1500km)
69d400827dca6ba0935b1daf,BER,RIX,ab DE,BER,Hub,Riga,RIX,10,12,1,1,2,"fluegede,idealo",842.0,Mittel (500-1500km)
69d400827dca6ba0935b8051,VAR,BER,nach DE,BER,Hub,Varna,VAR,10,11,4,4,2,"fluegede,idealo",1470.0,Mittel (500-1500km)
69d400827dca6ba0935b1ded,BER,VAR,ab DE,BER,Hub,Varna,VAR,10,11,4,4,2,"fluegede,idealo",1470.0,Mittel (500-1500km)
69d400827dca6ba0935b02e2,MUC,TUN,ab DE,MUC,Hub,Tunis,TUN,10,11,4,4,2,"fluegede,idealo",1285.0,Mittel (500-1500km)
69d400827dca6ba0935ae9a0,JNB,FRA,nach DE,FRA,Hub,Johannesburg,JNB,10,11,3,3,2,"fluegede,idealo",8689.0,Lang (>1500km)
69d400827dca6ba0935afccb,BRE,AYT,ab DE,BRE,Provinz,Antalya,AYT,10,11,2,2,2,"fluegede,idealo",2475.0,Lang (>1500km)
69d400827dca6ba0935b3856,FMM,BBU,ab DE,FMM,Provinz,Bucharest,BBU,10,11,2,2,2,"fluegede,idealo",1277.0,Mittel (500-1500km)
69d400827dca6ba0935afcc4,AYT,BRE,nach DE,BRE,Provinz,Antalya,AYT,10,11,2,2,2,"fluegede,idealo",2475.0,Lang (>1500km)
69d400827dca6ba0935b0e04,DTM,OTP,ab DE,DTM,Provinz,Bucharest,OTP,10,11,1,1,2,"fluegede,idealo",1570.0,Lang (>1500km)
69d400827dca6ba0935b0e9e,OTP,DTM,nach DE,DTM,Provinz,Bucharest,OTP,10,11,1,1,2,"fluegede,idealo",1570.0,Lang (>1500km)
69d400827dca6ba0935b6f1f,SCN,AYT,ab DE,SCN,Provinz,Antalya,AYT,10,11,1,1,2,"fluegede,idealo",2346.0,Lang (>1500km)
69d400827dca6ba0935a9bea,DUS,NCE,ab DE,DUS,Hub,Nice,NCE,9,179,1,12,3,"check24,fluegede,idealo",849.0,Mittel (500-1500km)
69d400827dca6ba0935ae901,DUS,BUD,ab DE,DUS,Hub,Budapest,BUD,9,157,3,10,2,"fluegede,idealo",999.0,Mittel (500-1500km)
69d400827dca6ba0935ae8f1,BUD,DUS,nach DE,DUS,Hub,Budapest,BUD,9,144,1,12,2,"fluegede,idealo",999.0,Mittel (500-1500km)
69d400827dca6ba0935aea0e,MUC,VLC,ab DE,MUC,Hub,Valencia,VLC,9,139,3,15,2,"fluegede,idealo",1388.0,Mittel (500-1500km)
69d400827dca6ba0935a8727,DUS,SPU,ab DE,DUS,Hub,Split,SPU,9,120,3,13,2,"fluegede,idealo",1119.0,Mittel (500-1500km)
69d400827dca6ba0935aea5a,VLC,MUC,nach DE,MUC,Hub,Valencia,VLC,9,120,1,13,2,"fluegede,idealo",1388.0,Mittel (500-1500km)
69d400827dca6ba0935ae9df,MUC,GVA,ab DE,MUC,Hub,Geneva,GVA,9,118,3,9,2,"fluegede,idealo",488.0,Kurz (0-500km)
69d400827dca6ba0935ab998,LCA,MUC,nach DE,MUC,Hub,Larnarca,LCA,9,114,2,16,2,"fluegede,idealo",2340.0,Lang (>1500km)
69d400827dca6ba0935ae987,GVA,MUC,nach DE,MUC,Hub,Geneva,GVA,9,111,3,11,2,"fluegede,idealo",488.0,Kurz (0-500km)
